0 -1 [[2, 8, 7], [1, 3, 6], [0, 4, 5]]
1 0 [[2, 8, 7], [1, 3, 6], [4, 0, 5]]
2 0 [[2, 8, 7], [0, 3, 6], [1, 4, 5]]
3 1 [[2, 8, 7], [1, 3, 6], [4, 5, 0]]
4 1 [[2, 8, 7], [1, 0, 6], [4, 3, 5]]
5 2 [[2, 8, 7], [3, 0, 6], [1, 4, 5]]
6 2 [[0, 8, 7], [2, 3, 6], [1, 4, 5]]
7 3 [[2, 8, 7], [1, 3, 0], [4, 5, 6]]
8 4 [[2, 8, 7], [0, 1, 6], [4, 3, 5]]
9 4 [[2, 8, 7], [1, 6, 0], [4, 3, 5]]
10 4 [[2, 0, 7], [1, 8, 6], [4, 3, 5]]
11 5 [[2, 8, 7], [3, 6, 0], [1, 4, 5]]
12 5 [[2, 0, 7], [3, 8, 6], [1, 4, 5]]
13 5 [[2, 8, 7], [3, 4, 6], [1, 0, 5]]
14 6 [[8, 0, 7], [2, 3, 6], [1, 4, 5]]
15 7 [[2, 8, 7], [1, 0, 3], [4, 5, 6]]
16 7 [[2, 8, 0], [1, 3, 7], [4, 5, 6]]
17 8 [[0, 8, 7], [2, 1, 6], [4, 3, 5]]
18 8 [[2, 8, 7], [4, 1, 6], [0, 3, 5]]
19 9 [[2, 8, 0], [1, 6, 7], [4, 3, 5]]
20 9 [[2, 8, 7], [1, 6, 5], [4, 3, 0]]
21 10 [[0, 2, 7], [1, 8, 6], [4, 3, 5]]
22 10 [[2, 7, 0], [1, 8, 6], [4, 3, 5]]
23 11 [[2, 8, 0], [3, 6, 7], [1, 4, 5]]
24 11 [[2, 8, 7], [3, 6, 5], [1, 4, 0]]
25 12 [[0, 2, 7], [3, 8, 6], [1, 4, 5]]
26 12 [[2, 7, 0], [3, 8, 6], [1, 4, 5]]
27 13 [[2, 8, 7], [3, 4, 6], [0, 1, 5]]
28 13 [[2, 8, 7], [3, 4, 6], [1, 5, 0]]
29 14 [[8, 7, 0], [2, 3, 6], [1, 4, 5]]
30 14 [[8, 3, 7], [2, 0, 6], [1, 4, 5]]
31 15 [[2, 8, 7], [0, 1, 3], [4, 5, 6]]
32 15 [[2, 0, 7], [1, 8, 3], [4, 5, 6]]
33 15 [[2, 8, 7], [1, 5, 3], [4, 0, 6]]
34 16 [[2, 0, 8], [1, 3, 7], [4, 5, 6]]
